Number of documents of the corpus: 15397
Number of words of the corpus: 6957
Word:aggress Frec:21 LogProb:-9.478196521405895
Word:agil Frec:3 LogProb:-11.18294461364432
Word:agit Frec:4 LogProb:-10.959801062330111
Word:ago Frec:82 LogProb:-8.150398366967613
Word:agoraphob Frec:2 LogProb:-11.470626686096102
Word:agoraphobia Frec:2 LogProb:-11.470626686096102
Word:agra Frec:7 LogProb:-10.489797433084375
Word:agre Frec:68 LogProb:-8.335132470166952
Word:agreement Frec:9 LogProb:-10.266653881770166
Word:agricultur Frec:60 LogProb:-8.4583651105909
Word:ahab Frec:2 LogProb:-11.470626686096102
Word:ahead Frec:55 LogProb:-8.543887284029061
Word:ahm Frec:4 LogProb:-10.959801062330111
Word:aid Frec:44 LogProb:-8.762576484993891
Word:aim Frec:21 LogProb:-9.478196521405895
Word:ain Frec:15 LogProb:-9.79665025252443
Word:air Frec:53 LogProb:-8.580254928199937
Word:airborn Frec:5 LogProb:-10.777479505536157
Word:airfar Frec:3 LogProb:-11.18294461364432
Word:airlin Frec:36 LogProb:-8.958321062119987
Word:airport Frec:9 LogProb:-10.266653881770166
Word:aisl Frec:108 LogProb:-7.877891092535068
Word:aka Frec:14 LogProb:-9.861188773662
Word:al Frec:32 LogProb:-9.072731413297731
Word:ala Frec:4 LogProb:-10.959801062330111
Word:alan Frec:2 LogProb:-11.470626686096102
Word:alarm Frec:16 LogProb:-9.736025630707996
Word:alaska Frec:6 LogProb:-10.623328825708898
Word:albeit Frec:2 LogProb:-11.470626686096102
Word:albert Frec:6 LogProb:-10.623328825708898
Word:alberta Frec:19 LogProb:-9.57350670121022
Word:albertan Frec:4 LogProb:-10.959801062330111
Word:alcohol Frec:71 LogProb:-8.292572855748155
Word:alert Frec:69 LogProb:-8.320743732714853
Word:alex Frec:6 LogProb:-10.623328825708898
Word:alexand Frec:3 LogProb:-11.18294461364432
Word:algeria Frec:3 LogProb:-11.18294461364432
Word:algorithm Frec:2 LogProb:-11.470626686096102
Word:ali Frec:22 LogProb:-9.433744758835061
Word:alic Frec:2 LogProb:-11.470626686096102
Word:alien Frec:7 LogProb:-10.489797433084375
Word:alight Frec:2 LogProb:-11.470626686096102
Word:alik Frec:6 LogProb:-10.623328825708898
Word:aliv Frec:14 LogProb:-9.861188773662
Word:all Frec:184 LogProb:-7.348883149685887
Word:allah Frec:11 LogProb:-10.084332324976211
Word:alleg Frec:22 LogProb:-9.433744758835061
Word:allegedli Frec:35 LogProb:-8.9857200363081
Word:allen Frec:4 LogProb:-10.959801062330111
Word:allerg Frec:2 LogProb:-11.470626686096102
Word:allergi Frec:12 LogProb:-10.004289617302675
Word:allevi Frec:5 LogProb:-10.777479505536157
Word:alli Frec:14 LogProb:-9.861188773662
Word:allianc Frec:4 LogProb:-10.959801062330111
Word:alloc Frec:9 LogProb:-10.266653881770166
Word:allow Frec:182 LogProb:-7.359752821922791
Word:almost Frec:2 LogProb:-11.470626686096102
Word:alo Frec:3 LogProb:-11.18294461364432
Word:alon Frec:74 LogProb:-8.251750861227901
Word:along Frec:59 LogProb:-8.47489441254211
Word:alongsid Frec:6 LogProb:-10.623328825708898
Word:alphabet Frec:3 LogProb:-11.18294461364432
Word:alreadi Frec:216 LogProb:-7.189341621223751
Word:alright Frec:7 LogProb:-10.489797433084375
Word:also Frec:7 LogProb:-10.489797433084375
Word:alt Frec:3 LogProb:-11.18294461364432
Word:alter Frec:6 LogProb:-10.623328825708898
Word:altern Frec:29 LogProb:-9.168041593102055
Word:although Frec:20 LogProb:-9.524716537040788
Word:altogeth Frec:5 LogProb:-10.777479505536157
Word:alumina Frec:2 LogProb:-11.470626686096102
Word:aluminium Frec:3 LogProb:-11.18294461364432
Word:alway Frec:94 LogProb:-8.01536208316367
Word:am Frec:13 LogProb:-9.930181645148952
Word:amanda Frec:2 LogProb:-11.470626686096102
Word:amaz Frec:14 LogProb:-9.861188773662
Word:amazon Frec:96 LogProb:-7.994527996260828
Word:ambul Frec:7 LogProb:-10.489797433084375
Word:amelior Frec:2 LogProb:-11.470626686096102
Word:amen Frec:8 LogProb:-10.372014397427991
Word:amend Frec:7 LogProb:-10.489797433084375
Word:america Frec:95 LogProb:-8.004890783296375
Word:american Frec:222 LogProb:-7.162067203304092
Word:ami Frec:8 LogProb:-10.372014397427991
Word:amid Frec:492 LogProb:-6.368729800721521
Word:amidst Frec:44 LogProb:-8.762576484993891
Word:ammo Frec:17 LogProb:-9.678867216868046
Word:ammunit Frec:8 LogProb:-10.372014397427991
Word:among Frec:2 LogProb:-11.470626686096102
Word:amongst Frec:15 LogProb:-9.79665025252443
Word:amor Frec:3 LogProb:-11.18294461364432
Word:amount Frec:88 LogProb:-8.080602605032071
Word:amp Frec:531 LogProb:-6.2925954854225665
Word:ampl Frec:9 LogProb:-10.266653881770166
Word:amplifi Frec:4 LogProb:-10.959801062330111
Word:amus Frec:2 LogProb:-11.470626686096102
Word:an Frec:27 LogProb:-9.237034464589007
Word:anaheim Frec:2 LogProb:-11.470626686096102
Word:analys Frec:9 LogProb:-10.266653881770166
Word:analysi Frec:43 LogProb:-8.78504934084595
Word:analyst Frec:41 LogProb:-8.831569356480843
Word:analyt Frec:9 LogProb:-10.266653881770166
Word:anarchi Frec:2 LogProb:-11.470626686096102
Word:ancient Frec:2 LogProb:-11.470626686096102
Word:ancillari Frec:2 LogProb:-11.470626686096102
Word:and Frec:123 LogProb:-7.748957409159174
Word:andi Frec:3 LogProb:-11.18294461364432
Word:andr Frec:2 LogProb:-11.470626686096102
Word:andrea Frec:2 LogProb:-11.470626686096102
Word:andrew Frec:6 LogProb:-10.623328825708898
Word:anecdot Frec:4 LogProb:-10.959801062330111
Word:angel Frec:17 LogProb:-9.678867216868046
Word:angela Frec:4 LogProb:-10.959801062330111
Word:anger Frec:5 LogProb:-10.777479505536157
Word:angi Frec:3 LogProb:-11.18294461364432
Word:angl Frec:3 LogProb:-11.18294461364432
Word:angri Frec:33 LogProb:-9.04287845014805
Word:angst Frec:4 LogProb:-10.959801062330111
Word:ani Frec:9 LogProb:-10.266653881770166
Word:anim Frec:50 LogProb:-8.637413342039885
Word:ann Frec:4 LogProb:-10.959801062330111
Word:anna Frec:5 LogProb:-10.777479505536157
Word:announc Frec:132 LogProb:-7.678889846542457
Word:annoy Frec:25 LogProb:-9.31114243674273
Word:annual Frec:11 LogProb:-10.084332324976211
Word:anonym Frec:3 LogProb:-11.18294461364432
Word:anoth Frec:198 LogProb:-7.275934150039719
Word:answer Frec:58 LogProb:-8.491701530858492
Word:anthoni Frec:3 LogProb:-11.18294461364432
Word:anthropologist Frec:2 LogProb:-11.470626686096102
Word:anti Frec:49 LogProb:-8.657215969336065
Word:antibacteri Frec:8 LogProb:-10.372014397427991
Word:antibodi Frec:4 LogProb:-10.959801062330111
Word:anticip Frec:26 LogProb:-9.273402108759882
Word:antisemit Frec:2 LogProb:-11.470626686096102
Word:antonio Frec:6 LogProb:-10.623328825708898
Word:anu Frec:2 LogProb:-11.470626686096102
Word:anxieti Frec:119 LogProb:-7.781747231982165
Word:anxiou Frec:26 LogProb:-9.273402108759882
Word:anybodi Frec:15 LogProb:-9.79665025252443
Word:anymor Frec:19 LogProb:-9.57350670121022
Word:anyon Frec:209 LogProb:-7.222131444046743
Word:anyth Frec:117 LogProb:-7.798554350298546
Word:anytim Frec:5 LogProb:-10.777479505536157
Word:anyway Frec:34 LogProb:-9.013890913274798
Word:anywher Frec:39 LogProb:-8.880359520650275
Word:apac Frec:2 LogProb:-11.470626686096102
Word:apart Frec:56 LogProb:-8.526187706929662
Word:apex Frec:3 LogProb:-11.18294461364432
Word:apocalyps Frec:20 LogProb:-9.524716537040788
