Number_of_documents: 18046
Number_of_words: 7273
Word:220ml Frec:3 LogProb:-11.84382146897865
Word:221 Frec:2 LogProb:-12.131503541430432
Word:225 Frec:4 LogProb:-11.620677917664441
Word:2250 Frec:3 LogProb:-11.84382146897865
Word:237 Frec:2 LogProb:-12.131503541430432
Word:23andm Frec:2 LogProb:-12.131503541430432
Word:23k Frec:2 LogProb:-12.131503541430432
Word:240 Frec:4 LogProb:-11.620677917664441
Word:2400 Frec:2 LogProb:-12.131503541430432
Word:243 Frec:2 LogProb:-12.131503541430432
Word:245 Frec:2 LogProb:-12.131503541430432
Word:250 Frec:14 LogProb:-10.52206562899633
Word:2500 Frec:5 LogProb:-11.438356360870486
Word:25000 Frec:5 LogProb:-11.438356360870486
Word:250000 Frec:3 LogProb:-11.84382146897865
Word:250ml Frec:2 LogProb:-12.131503541430432
Word:269 Frec:4 LogProb:-11.620677917664441
Word:274 Frec:5 LogProb:-11.438356360870486
Word:285 Frec:2 LogProb:-12.131503541430432
Word:293117 Frec:3 LogProb:-11.84382146897865
Word:299 Frec:3 LogProb:-11.84382146897865
Word:2995 Frec:2 LogProb:-12.131503541430432
Word:300 Frec:19 LogProb:-10.23438355654455
Word:3000 Frec:9 LogProb:-10.927530737104496
Word:30000 Frec:4 LogProb:-11.620677917664441
Word:300000 Frec:4 LogProb:-11.620677917664441
Word:301 Frec:2 LogProb:-12.131503541430432
Word:306 Frec:2 LogProb:-12.131503541430432
Word:30k Frec:5 LogProb:-11.438356360870486
Word:310 Frec:2 LogProb:-12.131503541430432
Word:324 Frec:2 LogProb:-12.131503541430432
Word:325 Frec:5 LogProb:-11.438356360870486
Word:329 Frec:2 LogProb:-12.131503541430432
Word:330 Frec:3 LogProb:-11.84382146897865
Word:333 Frec:3 LogProb:-11.84382146897865
Word:345 Frec:3 LogProb:-11.84382146897865
Word:350 Frec:9 LogProb:-10.927530737104496
Word:3500 Frec:5 LogProb:-11.438356360870486
Word:35000 Frec:6 LogProb:-11.284205681043227
Word:350k Frec:2 LogProb:-12.131503541430432
Word:35k Frec:4 LogProb:-11.620677917664441
Word:360 Frec:3 LogProb:-11.84382146897865
Word:371 Frec:2 LogProb:-12.131503541430432
Word:378 Frec:2 LogProb:-12.131503541430432
Word:3781877 Frec:2 LogProb:-12.131503541430432
Word:3900 Frec:3 LogProb:-11.84382146897865
Word:399 Frec:4 LogProb:-11.620677917664441
Word:3999 Frec:2 LogProb:-12.131503541430432
Word:400 Frec:13 LogProb:-10.591058500483282
Word:4000 Frec:11 LogProb:-10.74520918031054
Word:40000 Frec:3 LogProb:-11.84382146897865
Word:400000 Frec:2 LogProb:-12.131503541430432
Word:401k Frec:2 LogProb:-12.131503541430432
Word:402 Frec:2 LogProb:-12.131503541430432
Word:409 Frec:2 LogProb:-12.131503541430432
Word:419 Frec:2 LogProb:-12.131503541430432
Word:4500 Frec:2 LogProb:-12.131503541430432
Word:453000 Frec:2 LogProb:-12.131503541430432
Word:470 Frec:2 LogProb:-12.131503541430432
Word:48h Frec:2 LogProb:-12.131503541430432
Word:499 Frec:3 LogProb:-11.84382146897865
Word:4999 Frec:2 LogProb:-12.131503541430432
Word:49k Frec:2 LogProb:-12.131503541430432
Word:500 Frec:47 LogProb:-9.35891481919065
Word:5000 Frec:5 LogProb:-11.438356360870486
Word:50000 Frec:10 LogProb:-10.83222055730017
Word:500000 Frec:4 LogProb:-11.620677917664441
Word:500ltr Frec:2 LogProb:-12.131503541430432
Word:500ml Frec:9 LogProb:-10.927530737104496
Word:503 Frec:2 LogProb:-12.131503541430432
Word:508 Frec:2 LogProb:-12.131503541430432
Word:50k Frec:2 LogProb:-12.131503541430432
Word:519 Frec:3 LogProb:-11.84382146897865
